tender_ref,title,category,closing_date,num_documents,downloaded_paths
,APPOINTMENT OF A PANEL OF LAW FIRMS THAT WILL BE USED TO PROVIDE LEGAL ASSISTANCE / SERVICES TO THE COMPANIES TRIBUNAL FOR A PERIOD OF 3 YEARS,Legal and accounting activities,in 19 days,6,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A PAN_SUPPLY\General Conditions of Contract- Inclusion of par 34 CIBD.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A PAN_SUPPLY\(SDB) 4.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A PAN_SUPPLY\TOR Legal Panel 06.05.26 Final for signature .pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A PAN_SUPPLY\SBD 1 (1).pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A PAN_SUPPLY\SBD Form 3.1 (6).pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A PAN_SUPPLY\SBD 6.1 IN TERMS OF PPR2022 (1).pdf
,PROVISION OF RIGGING AND CRANE HIRE SERVICES ON AN AS AND WHEN REQUIRED BASIS FOR A PERIOD OF THREE (3) MONTHS AGREEMENT FOR TRANSNET SOC LIMITED [REG.NO 1990/000900/30] OPERATING AS TRANSNET PORT TERMINALS (HEREINAFTER TO AS “TPT”) AT THE PORT OF RICHARDS BAY TERMINAL.,Manufacture of machinery and equipment n.e.c.,in 3 days,4,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\PROVISION OF RIGGING_SUPPLY\Pricing_Schedule_-_Rigging_and_Crane_Hire_Services_Short_Te_4vdcM9u.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\PROVISION OF RIGGING_SUPPLY\2. RFQPPA 123796.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\PROVISION OF RIGGING_SUPPLY\SOW-Rigging_and_Crane_Hire_3_Months_Contract.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\PROVISION OF RIGGING_SUPPLY\TE-Rigging_and_Crane_Hire.pdf
,"Description of the works: Gallery cladding for Transnet SOC LTD (reg. n0 1990/000900/30) operating as Transnet Port Terminals (hereinafter referred to as “TPT”) for Port of Richards Bay — Port Rail Terminal (PRT) MAGNETITE SHUTDOWN, as once off.",Construction of buildings,in 16 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Description of the w_CONSTRUCTION\CIDB project - Gallery cladding - Magnetite shutdown.pdf
,Request for Proposals (RFP) The Provision of Underwater Measurement Capabilities and Technical Expertise Related to the Development and Testing of Maritime Technology and Underwater Sensors with the CSIR for a Period of 5 Years.,"Professional, scientific and technical activities",in 29 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Request for Proposal_CONSTRUCTION\RFP 3729-08-06-2026.pdf
,Appointment of a service provider to provide Integrated Waste Management for 6 months,Services: Professional,in 11 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Appointment of a ser_CLEANING_SUPPLY\Solicitation ID RFQ_OBP023_2026_27 Request for Quote May 08 2026.pdf
,"MAINTENANCE OF TRAFFIC LIGHTS, LIFTS, AND DIESEL GENERATORS AT GREATER TZANEEN MUNICIPALITY FOR THE PERIOD OF 36 MONTHS",Services: Professional,in 29 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\MAINTENANCE OF TRAFF_CONSTRUCTION\COMBINED MAY ADVERT 01.pdf
,APPOINTMENT OF A SERVICE PROVIDER FOR THE CONSTRUCTION OF EXHIBITION STALLS/SHELL SCHEMES FOR TZANEEN AGRIC EXPO 2026,Other service activities,in 12 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A SER_CONSTRUCTION_SUPPLY\COMBINED MAY ADVERT 01.pdf
,"PROVISION OF METER READING, DISCONNECTION AND RECONNECTIONS SERVICES FOR THE PERIOD OF THREE (03) YEARS AT GTM",Services: Electrical,in 29 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\PROVISION OF METER R_CONSTRUCTION\COMBINED MAY ADVERT 01.pdf
,APPOINTMENT OF SERVICE PROVIDER FOR PROVISION OF AN ELECTRONIC PERFORMANCE MANAGEMENT SYSTEM AT TSWELOPELE LOCAL MUNICIPALIY FOR A PERIOD OF THREE (3).,"Professional, scientific and technical activities",in 29 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF SERVI_SUPPLY\Tender document - SCM-TSW-22-2025-2026 -  ELECTRONIC PERFORMANCE MANAGEMENT SYSTEM.pdf
,APPOINTMENT OF SERVICE PROVIDER FOR THE MIGRATION OF CURRENT EMAIL SERVICES TO MICROSOFT 365 BUSINESS STANDARD SUBSCRIPTION LICENSES FOR 110 USERS AT TSWELOPELE LOCAL MUNICIPALITY FOR A PERIOD OF THREE (3) YEARS.,Information and communication,in 29 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF SERVI_SUPPLY\Tender document - SCM-TSW-23-2025-2026 -  MIGRATION OF CURRENT EMAIL SERVICES TO MICROSOFT 365 BUSINESS STANDARD.pdf
,Supply And Deliver Vehicle Spares for the Coastal Vehicle Workshop for a Period of 3 Years,Wholesale and retail trade and repair of motor vehicles and motorcycles,in 32 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Supply And Deliver V_CONSTRUCTION_SUPPLY\Tender 2026-072 SUPPLY AND DELIVER VEHICLE SPARES FOR THE COASTAL VEHICLE WORKSHOP FOR A PERIOD OF 3 YEARS.pdf
,"SUPPLY, DELIVER, FIT, REPAIR, BALANCE AND WHEEL ALIGNMENT OF TYRES FOR THE COASTAL VEHICLE WORKSHOP FOR A PERIOD OF 3 YEARS",Wholesale and retail trade and repair of motor vehicles and motorcycles,in 32 days,1,"C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\SUPPLY, DELIVER, FIT_CONSTRUCTION_SUPPLY\2026-073 Document .pdf"
,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER IMPACT HAMMERVERIFICATION KIT,Supplies: Electrical Equipment,in 5 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A SER_CONSTRUCTION_SUPPLY\RFQ 201966  Impact Hammer Verification.pdf
,"PSP to Review the Detailed Feasibility Studies, and Undertake the Detailed Design, Contract Administration and Close Out Stages of the Upper uMkhomazi Water Project Phase 1 – 156 ML Reinforced Concrete Reservoir and Ancillary Works",Services: Professional,in 32 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\PSP to Review the De_CONSTRUCTION\2026-079 - Upper Mkhomazi Water Project - PSP  Bid Document  -156ML Rev 02.pdf
,THE NATIONAL CONSUMER COMMISSION INVITES INTERESTED SERVICE PROVIDERS TO PROVIDE THE NCC WITH A SUPPORT AND MAINTENANCE OF THE MOTADATA CLOUD-BASED ICT SERVICE DESK SYSTEM (SOLUTION) AND ASSOCIATED LICENSES FOR A PERIOD OF 36 MONTHS.,Information and communication,in 10 days,6,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\THE NATIONAL CONSUME_CONSTRUCTION_SUPPLY\SBD 1.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\THE NATIONAL CONSUME_CONSTRUCTION_SUPPLY\Standard Bidding Document (SDB) 4.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\THE NATIONAL CONSUME_CONSTRUCTION_SUPPLY\SBD 3.1.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\THE NATIONAL CONSUME_CONSTRUCTION_SUPPLY\SBD 6.1 IN TERMS OF PPR2022 (1).pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\THE NATIONAL CONSUME_CONSTRUCTION_SUPPLY\TOR-ServiceDesk Final (003).pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\THE NATIONAL CONSUME_CONSTRUCTION_SUPPLY\general conditions of contract.pdf
,"SUPPLY, DELIVERY AND INSTALLATION OF A UROLOGY LASER, HOLMIUM YAG (SPEC: E181) FOR VICTORIA MXENGE HOSPITAL",Supplies: Medical,in 25 days,2,"C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\SUPPLY, DELIVERY AND_SUPPLY\BID DOC-ZNB 5051-2026-H - UROLOGY LASER HOLMIUM YAG (SPEC E181) FOR VICTORIA MXENGE HOSPITAL ONCE-OFF.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\SUPPLY, DELIVERY AND_SUPPLY\BID ADVERT ZNB 5051-2026-H-UROLOGY LASER HOLMIUM YAG (SPEC- E181) FOR VICTORIA MXENGE HOSPITAL.docx"
,"Purchase and delivery of 20 hard drives for external backups for Head Office officials at 191Prince Alfred Street, Department of Public Works & Infrastructure, Oliver Tambo house Head Office, Pietermaritzburg 3201: SCM.",Information service activities,in 3 days,3,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Purchase and deliver_CONSTRUCTION_SUPPLY\ZNQ14 26 27._ tender document.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Purchase and deliver_CONSTRUCTION_SUPPLY\ZNQ 17-26-27 design specification pictures.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Purchase and deliver_CONSTRUCTION_SUPPLY\Advert ZNQ14.26.27.pdf
